,name,long_name,default value,units
115,leafcn_min,Minimum leaf CN ratio,varies: 15.0 to 30.0,gC/gN
116,lf_fcel,Leaf litter cellulose fraction,0.5,fraction
117,lf_flab,Leaf litter labile fraction,0.25,fraction
118,lf_flig,Leaf litter lignin fraction,0.25,fraction
119,lfemerg,Leaf emergence parameter used in CNPhenology,varies: nan to nan,unitless
120,lflitcn,Leaf litter C:N,varies: 50.0 to 80.0,gC/gN
121,livewdcn,Live wood (phloem and ray parenchyma) C:N,varies: 0.0 to 50.0,gC/gN
122,livewdcn_max,Maximum live wood CN ratio,varies: 0.0 to 60.0,gC/gN
123,livewdcn_min,Minimum live wood CN ratio,varies: 0.0 to 40.0,gC/gN
124,lwtop_ann,Live wood turnover proportion,0.7,unitless
125,manunitro,Max manure to be applied in total,0,kg N/m2
126,max_NH_planting_date,Maximum planting date for the Northern Hemipsphere,varies: nan to nan,YYYYMMDD
127,max_SH_planting_date,Maximum planting date for the Southern Hemipsphere,varies: nan to nan,YYYYMMDD
128,max_altdepth_cryoturbation,Maximum active layer thickness for cryoturbation to occur,2.0,m
129,max_altmultiplier_cryoturb,Ratio of the maximum extent of cryoturbation to the active layer thickness,3.0,unitless
130,maxpsi_hr,Maximum soil water potential for heterotrophic resp,-2.00E-3,MPa
131,mbbopt,"Ball-Berry slope of conductance-photosynthesis relationship, unstressed",varies: 4.0 to 9.0,umol H2O/umol CO2
132,me_herb,Moisture of extinction for herbaceous PFTs (proportion),0.2,unitless
133,me_woody,Moisture of extinction for woody PFTs (proportion),0.3,unitless
134,medlynintercept,Medlyn intercept of conductance-photosynthesis relationship,100.0,umol H2O
135,mergetoclmpft,CLM pft to merge this pft to,varies: 1.0 to 14.0,index
136,min_NH_planting_date,Minimum planting date for the Northern Hemipsphere,varies: nan to nan,YYYYMMDD
137,min_SH_planting_date,Minimum planting date for the Southern Hemipsphere,varies: nan to nan,YYYYMMDD
138,min_planting_temp,Average 5 day daily minimum temperature needed for planting,varies: nan to nan,K
139,minfuel,Dead fuel threshold to carry a fire,100.0,gC/m2
140,mino2lim,Minimum anaerobic decomposition rate as a fraction of potential aerobic rate,0.2,unitless
141,mxmat,Maximum number of days to maturity parameter in CNPhenology,varies: nan to nan,days
142,mxtmp,"Max Temperature, parameter used in accFlds",varies: nan to nan,C
143,ndays_off,Number of days to complete leaf offset,15.0,days
144,ndays_on,Number of days to complete leaf onset,30.0,days
145,nongrassporosratio,"Ratio of root porosity in non-grass to grass, used for aerenchyma transport",0.33,unitless
146,organic_max,Organic matter content where soil is assumed to act like peat for diffusion,130.0,kg/m3
147,oxinhib,Inhibition of methane production by oxygen,400.0,m^3/mol
148,pHmax,Maximum pH for methane production,9.0,unitless
149,pHmin,Minimum pH for methane production,2.2,unitless
150,pconv,Deadstem proportions to send to conversion flux,varies: 0.6 to 1.0,fraction
151,perecm,Fraction of N uptake conducted via Ectomycorrhizal fungal associations,varies: 0.0 to 1.0,fraction
152,pftnum,Plant Functional Type number,varies: 1 to 14,unitless
153,pftpar20,Tree maximum crown area,varies: 0.0 to 15.0,m2
154,pftpar28,Minimum coldest monthly mean temperature,varies: -1000.0 to 15.5,degrees_Celsius
155,pftpar29,Maximum coldest monthly mean temperature,varies: -17.0 to 22.0,degrees_Celsius
156,pftpar30,Minimum growing degree days (>= 5 degree Celsius),varies: 0.00E+2 to 1.20E+3,degree_C_days
157,pftpar31,Upper limit of temperature of the warmest month (twmax),varies: 23.0 to 23.0,degrees_Celsius
158,phenology_soil_depth,Soil depth used for measuring states for phenology triggers,0.08,m
159,planting_temp,Average 10 day temperature needed for planting,varies: nan to nan,K
160,porosmin,Minimum aerenchyma porosity,0.05,unitless
161,pprod10,Deadstem proportions to send to 10 year product pool,varies: 0.0 to 0.4,fraction
162,pprod100,Deadstem proportions to send to 100 year product pool,varies: 0.0 to 0.1,fraction
163,pprodharv10,Deadstem proportions to send to 10 year harvest pool,varies: 0.75 to 1.0,fraction
164,q10_ch4oxid,Q10 oxidation constant,1.9,unitless
165,q10ch4,Q10 for methane production,1.33,unitless
166,q10ch4base,Temperature at which the effective f_ch4 actually equals the constant f_ch4,295.0,bug! units not provided in params file
167,q10lakebase,Base temperature for lake CH4 production,298.0,K
168,qflxlagd,Days to lag time-lagged surface runoff (qflx_surf_lag) in the tropics,30.0,days
169,rc_npool,resistance for uptake from plant n pool,10.0,unitless
170,redoxlag,Number of days to lag in the calculation of finundated_lag,30.0,days
171,redoxlag_vertical,Time lag (days) to inhibit production for newly unsaturated layers,0,days
172,rf_cwdl2_bgc,respiration fraction from CWD to litter 2,0,unitless
173,rf_cwdl3_bgc,respiration fraction from CWD to litter 3,0,unitless
174,rf_l1s1,Respiration fraction for litter 1 -> SOM 1,0.39,unitless
175,rf_l1s1_bgc,Respiration fraction for litter 1 -> SOM 1,0.55,unitless
176,rf_l2s1_bgc,respiration fraction litter 2 to SOM 1,0.5,unitless
177,rf_l2s2,Respiration fraction for litter 2 -> SOM 2,0.55,unitless
178,rf_l3s2_bgc,respiration fraction from litter 3 to SOM 2,0.5,unitless
179,rf_l3s3,Respiration fraction for litter 3 -> SOM 3,0.29,unitless
180,rf_s1s2,Respiration fraction for SOM 1 -> SOM 2,0.28,unitless
181,rf_s2s1_bgc,respiration fraction SOM 2 to SOM 1,0.55,unitless
182,rf_s2s3,Respiration fraction for SOM 2 -> SOM 3,0.46,unitless
183,rf_s2s3_bgc,Respiration fraction for SOM 2 -> SOM 3,0.55,unitless
184,rf_s3s1_bgc,respiration fraction SOM 3 to SOM 1,0.55,unitless
185,rf_s3s4,Respiration fraction for SOM 3 -> SOM 4,0.55,unitless
186,rholnir,Leaf reflectance: near-IR,varies: 0.35 to 0.45,fraction
187,rholvis,Leaf reflectance: visible,varies: 0.07 to 0.11,fraction
188,rhosnir,Stem reflectance: near-IR,varies: 0.39 to 0.53,fraction
189,rhosvis,Stem reflectance: visible,varies: 0.16 to 0.31,fraction
190,rij_kro_a,Best-fit parameter of simple-structure model (Arah and Vinten 1995),1.50E-10,unitless
191,rij_kro_alpha,Simple-structure model parameter (Arah and Vinten 1995),1.26,unitless
192,rij_kro_beta,Simple-structure model parameter (Arah and Vinten 1995),0.6,unitless
193,rij_kro_delta,Simple-structure model parameter (Arah and Vinten 1995),0.85,unitless
194,rij_kro_gamma,Simple-structure model parameter (Arah and Vinten 1995),0.6,unitless
195,rob,Ratio of root length to vertical depth (root obliquity),3.0,unitless
196,root_dmx,maximum rooting depth of crops,999.0,m
197,roota_par,CLM rooting distribution parameter,varies: 6.0 to 11.0,1/m
198,rootb_par,CLM rooting distribution parameter,varies: 1.0 to 2.0,1/m
199,rootlitfrac,Fraction of soil organic matter associated with roots,0.5,unitless
200,s_fix,Baseline cost of N fixation in gC/gN,-6.0,gC/gN
201,s_flnr,slope of the relationship between leaf N per unit area (gN/m2) and fraction leaf N in Rubisco (for vcmax_opt=4),varies: -0.38 to -0.01,fraction/gN/m2
202,s_vcad,slope of the relationship between leaf N per unit area (gN/m2) and Vcmax25top (umol CO2/m2/s),varies: 5.5 to 40.96,umol CO2/s/gN
203,satpow,Exponent on watsat for saturated soil solute diffusion,2.0,unitless
204,scale_factor_aere,Scale factor on the aerenchyma area for sensitivity tests,1.0,unitless
205,scale_factor_gasdiff,Scale factor for gas diffusion,1.0,unitless
206,scale_factor_liqdiff,Scale factor for solute diffusion in liquid (water),1.0,unitless
208,sf_minn,Soluble fraction of mineral N,0.1,unitless
209,sf_no3,Soluble fraction of NO3,1.0,unitless
210,shape_fluxprof_param1,Shape parameter of advection/diffusion profile,1.00E+10,unitless
211,smp_crit,Critical soil moisture potential to reduce oxidation (mm) due to dessication of methanotrophs above the water table,-2.40E+5,mm
212,smpsc,Soil water potential at full stomatal closure,varies: -4.28E+5 to -2.24E+5,mm
213,smpso,Soil water potential at full stomatal opening,varies: -8.30E+4 to -3.50E+4,mm
214,soilpsi_off,Critical soil water potential for leaf offset,-0.8,MPa
215,soilpsi_on,Critical soil water potential for leaf onset,-0.6,MPa
216,som_diffus,Vertical soil organic matter diffusion coefficient for flat adv/diff profile ,3.17E-12,m^2/sec
217,stem_leaf,Allocation parameter: new stem C per new leaf C (-1 means use dynamic stem allocation),varies: 0.0 to 2.3,gC/gC
219,surface_tension_water,Surface tension of water (Arah and Vinten 1995),0.073,J/m^2
220,tau_cwd,Corrected fragmentation rate constant CWD,3.3333,1/year
221,tau_l1,Turnover time of  litter 1,0.0541,year
222,tau_l2_l3,Turnover time of  litter 2 and litter 3,0.2041,year
223,tau_s1,Turnover time of soil organic matter (SOM) 1,0.137,year
224,tau_s2,Turnover time of soil organic matter (SOM) 2,5.0,year
225,tau_s3,Turnover time of soil organic matter (SOM) 3,222.2222,year
226,taulnir,Leaf transmittance: near-IR,varies: 0.1 to 0.34,fraction
227,taulvis,Leaf transmittance: visible,0.05,fraction
228,tausnir,Stem transmittance: near-IR,varies: 0.001 to 0.25,fraction
229,tausvis,Stem transmittance: visible,varies: 0.001 to 0.12,fraction
230,unsat_aere_ratio,Ratio to multiply upland vegetation aerenchyma porosity by compared to inundated systems,0.1667,unitless
231,vgc_max,Ratio of saturation pressure triggering ebullition,0.15,unitless
232,vmax_ch4_oxid,Oxidation rate constant,1.25E-5,mol/m3-w/s
233,vmax_oxid_unsat,Oxidation rate constant,1.25E-6,mol/m3-w/s
234,wcf,Wood combustion fraction,0.4,unitless
236,xl,Leaf/stem orientation index,varies: -0.3 to 0.25,unitless
237,ztopmx,Canopy top coefficient used in CNVegStructUpdate,varies: nan to nan,m
